quesId,Title,Language(s),AcceptedCount,UnacceptedCount
599,minimum index sum of two lists,cpp,1,0
602,friend requests II who has the most friends,sql,2,0
605,can place flowers,cpp,3,0
606,construct string from binary tree,cpp,1,0
607,sales person,sql,2,0
608,tree node,sql,1,0
609,find duplicate file in system,cpp,1,0
610,triangle judgement,sql,2,0
611,valid triangle number,cpp,1,1
617,merge two binary trees,cpp,4,0
619,biggest single number,sql,2,0
620,not boring movies,sql,1,0
621,task scheduler,cpp,1,0
622,design circular queue,cpp,1,0
623,add one row to tree,cpp,2,0
624,maximum distance in arrays,cpp,1,1
626,exchange seats,sql,2,0
627,swap salary,sql,2,0
628,maximum product of 3 numbers,cpp,2,0
629,k inverse pairs array,cpp,0,2
632,smallest range covering elements from K lists,cpp,2,0
633,sum of square numbers,cpp,3,1
637,average of levels in a binary tree,cpp,1,0
640,solve the equation,cpp,1,0
641,design circular deque,cpp,1,0
643,maximum average subarray I,cpp,1,1
645,set mismatch,cpp,6,0
646,maximum length of pair chain,cpp,3,1
647,palindromic substrings,cpp,3,0
648,replace words,cpp,1,0
650,2 keys keyboard,cpp,4,0
652,find duplicate subtrees,cpp,1,0
653,two sum IV input in a BST,cpp,2,0
654,maximum binary tree,cpp,2,0
655,print binary tree,cpp,1,0
657,return robot to origin,cpp,2,0
658,find K closest elements,cpp,1,0
661,image smoother,cpp,3,0
662,maximum width of binary tree,cpp,1,0
665,non decreasing array,cpp,1,0
668,kth smallest number in multiplication table,cpp,0,2
669,trim a binary search tree,cpp,1,0
670,maximum swap,cpp,2,0
671,second minimum node in a binary tree,cpp,2,0
673,number of longest increasing subsequence,cpp,1,0
674,longest continous increasing subsequence,cpp,2,0
676,implement magic dictionary,cpp,1,0
677,map sum pairs,cpp,2,0
678,valid parenthesis string,cpp,3,1
680,valid palindrome II,cpp,1,0
682,baseball game,cpp,1,0
684,redundant connection,cpp,2,0
685,redundant connection II,cpp,1,1
687,longest univalue path,cpp,1,0
690,employee importance,cpp,1,0
692,top k frequent words,cpp,1,0
693,binary number with alternating bits,cpp,3,0
695,max area of island,cpp,1,0
696,count binary substrings,cpp,2,1
697,degree of an array,cpp,2,1
698,partition to k equal sum subsets,cpp,0,1
700,search in a binary search tree,cpp,2,0
701,insert into a binary search tree,cpp,2,0
703,Kth largest element in a stream,cpp,1,0
704,binary search,cpp,1,0
705,design hashset,cpp,2,0
706,design hashmap,cpp,2,0
707,design linked list,cpp,2,0
709,to lower case,cpp,2,0
710,random pick with blacklist,cpp,0,1
712,minimum ASCII delete sum for two strings,cpp,2,1
713,subarray product less than k,cpp,2,0
714,best time to buy and sell stock with transaction fee,cpp,5,1
715,range module,cpp,0,1
718,maximum length of repeated subarray,cpp,3,0
719,find Kth smallest pair distance,cpp,2,3
720,longest word in dictionary,cpp,1,0
721,accounts merge,cpp,1,0
724,find pivot index,cpp,2,0
725,split linked list in parts,cpp,1,0
726,number of atoms,cpp,1,0
728,self dividing numbers,cpp,1,0
729,my calender I,cpp,4,1
731,my calender II,cpp,2,1
732,my calender III,cpp,1,0
733,flood fill,cpp,2,0
735,asteroid collision,cpp,2,0
738,monotone increasing digits,cpp,1,1
739,daily temperatures,cpp,1,1
740,earn and delete,cpp,3,1
743,network delay time,cpp,2,0
744,find the smallest letter greater than target,cpp,2,0
745,prefix and suffix search,cpp,2,1
746,min cost climbing stairs,cpp,2,0
747,largest number at least twice of others,cpp,1,0
748,shortest completing word,cpp,1,0
752,open the lock,cpp,1,0
762,prime number of set bits in binary representation,cpp,1,0
763,partition labels,cpp,2,0
764,largest plus sign,cpp,1,1
766,toeplitz matrix,cpp,2,0
767,reorganize string,cpp,1,0
771,jewels and stones,cpp,3,0
775,global and local inversions,cpp,2,2
779,kth symbol in grammar,cpp,1,0
783,minimum distance between BST nodes,cpp,4,0
784,letter case permutation,cpp,1,0
785,is graph bipartite,cpp,1,0
786,kth smallest prime fraction,cpp,5,0
787,cheapest flights within k stops,cpp,2,0
788,rotated digits,cpp,1,0
791,custom sort string,cpp,1,0
792,number of matching subsequences,cpp,1,1
793,preimage size of factorial zeroes function,cpp,1,1
795,number of subarrays with bounded maximum,cpp,1,1
796,rotate string,cpp+js,3+1,0+0
797,all paths from source to target,cpp,1,0
799,champagne tower,cpp,1,0
802,find eventual safe states,cpp,3,0
804,unique morse code words,cpp,1,0
805,split array with same average,cpp,0,1
806,number of lines to write string,cpp,1,0
807,max increase to keep city skyline,cpp,2,0
811,subdomain visit count,cpp,1,0
812,largest triangle area,cpp,1,0
814,binary tree pruning,cpp,3,0
817,linked list components,cpp,2,0
819,most common word,cpp,1,0
820,short encoding of words,cpp,1,0
821,shortest distance to a character,cpp,2,0
825,friends of appropriate ages,cpp,0,1
826,most profit assigning work,cpp,4,0
827,making a large island,cpp,1,0
828,count unique characters of all substrings of a given string,cpp,1,1
829,consecutive numbers sum,cpp,0,1
830,positions of large groups,cpp,1,0
832,flipping an image,cpp,2,0
834,sum of distances in tree,cpp,1,2
836,rectangle overlap,cpp,1,0
